- 21:24:41.000 DEBUG: Client started on Aiden-Desktop
- 21:24:45.353 DEBUG: Server ready
- 21:24:55.290 DEBUG: Received SYN: 1930
- 21:24:55.290 DEBUG: Sending SYN+ACK: SYN -> 1898 ACK -> 1931
- 21:24:55.306 DEBUG: Received final ACK: 1899, expected: 1899
- 21:25:27.567 DEBUG: Sending response, AckNo = 1
- 21:25:27.582 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.582 DEBUG: Sending response, AckNo = 0
- 21:25:27.582 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.582 DEBUG: Sending response, AckNo = 1
- 21:25:27.598 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.598 DEBUG: Sending response, AckNo = 0
- 21:25:27.598 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.598 DEBUG: Sending response, AckNo = 1
- 21:25:27.598 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.598 DEBUG: Sending response, AckNo = 0
- 21:25:27.613 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.613 DEBUG: Sending response, AckNo = 1
- 21:25:27.613 DEBUG: Receivec packet, SeqNo = 0
- 21:25:27.613 DEBUG: Sending response, AckNo = 0
- 21:25:27.629 DEBUG: Receivec packet, SeqNo = 1
- 21:25:27.629 DEBUG: Sending response, AckNo = 1
- 21:25:28.629 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.629 DEBUG: Sending response, AckNo = 0
- 21:25:28.645 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.645 DEBUG: Sending response, AckNo = 1
- 21:25:28.645 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.645 DEBUG: Sending response, AckNo = 0
- 21:25:28.660 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.660 DEBUG: Sending response, AckNo = 1
- 21:25:28.660 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.660 DEBUG: Sending response, AckNo = 0
- 21:25:28.676 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.676 DEBUG: Sending response, AckNo = 1
- 21:25:28.676 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.676 DEBUG: Sending response, AckNo = 0
- 21:25:28.691 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.691 DEBUG: Sending response, AckNo = 1
- 21:25:28.691 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.691 DEBUG: Sending response, AckNo = 0
- 21:25:28.707 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.707 DEBUG: Sending response, AckNo = 1
- 21:25:28.707 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.707 DEBUG: Sending response, AckNo = 0
- 21:25:28.723 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.723 DEBUG: Sending response, AckNo = 1
- 21:25:28.723 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.723 DEBUG: Sending response, AckNo = 0
- 21:25:28.738 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.738 DEBUG: Sending response, AckNo = 1
- 21:25:28.738 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.738 DEBUG: Sending response, AckNo = 0
- 21:25:28.738 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.738 DEBUG: Sending response, AckNo = 1
- 21:25:28.754 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.754 DEBUG: Sending response, AckNo = 0
- 21:25:28.754 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.754 DEBUG: Sending response, AckNo = 1
- 21:25:28.769 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.769 DEBUG: Sending response, AckNo = 0
- 21:25:28.769 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.769 DEBUG: Sending response, AckNo = 1
- 21:25:28.785 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.785 DEBUG: Sending response, AckNo = 0
- 21:25:28.785 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.785 DEBUG: Sending response, AckNo = 1
- 21:25:28.801 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.801 DEBUG: Sending response, AckNo = 0
- 21:25:28.801 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.801 DEBUG: Sending response, AckNo = 1
- 21:25:28.816 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.816 DEBUG: Sending response, AckNo = 0
- 21:25:28.816 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.816 DEBUG: Sending response, AckNo = 1
- 21:25:28.832 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.832 DEBUG: Sending response, AckNo = 0
- 21:25:28.832 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.832 DEBUG: Sending response, AckNo = 1
- 21:25:28.832 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.832 DEBUG: Sending response, AckNo = 0
- 21:25:28.847 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.847 DEBUG: Sending response, AckNo = 1
- 21:25:28.847 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.847 DEBUG: Sending response, AckNo = 0
- 21:25:28.863 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.863 DEBUG: Sending response, AckNo = 1
- 21:25:28.863 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.863 DEBUG: Sending response, AckNo = 0
- 21:25:28.879 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.879 DEBUG: Sending response, AckNo = 1
- 21:25:28.879 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.879 DEBUG: Sending response, AckNo = 0
- 21:25:28.894 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.894 DEBUG: Sending response, AckNo = 1
- 21:25:28.894 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.894 DEBUG: Sending response, AckNo = 0
- 21:25:28.894 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.894 DEBUG: Sending response, AckNo = 1
- 21:25:28.910 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.910 DEBUG: Sending response, AckNo = 0
- 21:25:28.910 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.910 DEBUG: Sending response, AckNo = 1
- 21:25:28.925 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.925 DEBUG: Sending response, AckNo = 0
- 21:25:28.925 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.925 DEBUG: Sending response, AckNo = 1
- 21:25:28.941 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.941 DEBUG: Sending response, AckNo = 0
- 21:25:28.941 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.941 DEBUG: Sending response, AckNo = 1
- 21:25:28.957 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.957 DEBUG: Sending response, AckNo = 0
- 21:25:28.957 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.957 DEBUG: Sending response, AckNo = 1
- 21:25:28.957 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.957 DEBUG: Sending response, AckNo = 0
- 21:25:28.972 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.972 DEBUG: Sending response, AckNo = 1
- 21:25:28.972 DEBUG: Receivec packet, SeqNo = 0
- 21:25:28.972 DEBUG: Sending response, AckNo = 0
- 21:25:28.988 DEBUG: Receivec packet, SeqNo = 1
- 21:25:28.988 DEBUG: Sending response, AckNo = 1
- 21:25:28.988 DEBUG: File transfer complete
- 21:25:28.988 DEBUG: 	# effective bytes sent: 77962
- 21:25:28.988 DEBUG: 	# packets sent:         77
- 21:25:28.988 DEBUG: 	# bytes sent:           80080
- 21:25:33.541 DEBUG: Receivec packet, SeqNo = 0
- 21:25:33.541 DEBUG: Sending response, AckNo = 0
