- 11:44:01.000 DEBUG: Server started on AidenLaptop
- 11:44:04.703 DEBUG: Server ready
- 11:44:20.937 DEBUG: Received SYN: 950
- 11:44:20.937 DEBUG: Sending SYN+ACK: SYN -> 898 ACK -> 951
- 11:44:20.937 DEBUG: Received final ACK: 899, expected: 899
- 11:44:55.515 DEBUG: Sending response, AckNo = 1
- 11:44:56.140 DEBUG: Received packet, SeqNo = 0
- 11:44:56.140 DEBUG: Sending response, AckNo = 0
- 11:44:57.765 DEBUG: Received packet, SeqNo = 0
- 11:44:57.765 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:57.078 DEBUG: Received packet, SeqNo = 1
- 11:44:57.078 DEBUG: Sending response, AckNo = 1
- 11:44:58.687 DEBUG: Received packet, SeqNo = 0
- 11:44:58.687 DEBUG: Sending response, AckNo = 0
- 11:44:58.312 DEBUG: Received packet, SeqNo = 0
- 11:44:58.312 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:44:59.250 DEBUG: Received packet, SeqNo = 1
- 11:44:59.250 DEBUG: Sending response, AckNo = 1
- 11:45:00.875 DEBUG: Received packet, SeqNo = 1
- 11:45:00.875 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:00.187 DEBUG: Received packet, SeqNo = 0
- 11:45:00.187 DEBUG: Sending response, AckNo = 0
- 11:45:01.812 DEBUG: Received packet, SeqNo = 0
- 11:45:01.812 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:01.843 DEBUG: Received packet, SeqNo = 1
- 11:45:01.843 DEBUG: Sending response, AckNo = 1
- 11:45:02.109 DEBUG: Received packet, SeqNo = 0
- 11:45:02.109 DEBUG: Sending response, AckNo = 0
- 11:45:02.109 DEBUG: Received packet, SeqNo = 1
- 11:45:02.109 DEBUG: Sending response, AckNo = 1
- 11:45:04.656 DEBUG: Received packet, SeqNo = 1
- 11:45:04.656 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:04.968 DEBUG: Received packet, SeqNo = 1
- 11:45:04.968 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:04.000 DEBUG: Received packet, SeqNo = 0
- 11:45:04.000 DEBUG: Sending response, AckNo = 0
- 11:45:04.312 DEBUG: Received packet, SeqNo = 1
- 11:45:04.312 DEBUG: Sending response, AckNo = 1
- 11:45:05.625 DEBUG: Received packet, SeqNo = 1
- 11:45:05.625 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:05.625 DEBUG: Received packet, SeqNo = 0
- 11:45:05.625 DEBUG: Sending response, AckNo = 0
- 11:45:05.937 DEBUG: Received packet, SeqNo = 0
- 11:45:05.937 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:07.812 DEBUG: Received packet, SeqNo = 1
- 11:45:07.812 DEBUG: Sending response, AckNo = 1
- 11:45:07.843 DEBUG: Received packet, SeqNo = 0
- 11:45:07.843 DEBUG: Sending response, AckNo = 0
- 11:45:08.125 DEBUG: Received packet, SeqNo = 1
- 11:45:08.125 DEBUG: Sending response, AckNo = 1
- 11:45:10.687 DEBUG: Received packet, SeqNo = 0
- 11:45:10.687 DEBUG: Sending response, AckNo = 0
- 11:45:10.000 DEBUG: Received packet, SeqNo = 0
- 11:45:10.000 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:10.031 DEBUG: Received packet, SeqNo = 1
- 11:45:10.031 DEBUG: Sending response, AckNo = 1
- 11:45:11.625 DEBUG: Received packet, SeqNo = 1
- 11:45:11.625 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:11.250 DEBUG: Received packet, SeqNo = 1
- 11:45:11.250 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:11.250 DEBUG: Received packet, SeqNo = 0
- 11:45:11.250 DEBUG: Sending response, AckNo = 0
- 11:45:11.562 DEBUG: Received packet, SeqNo = 1
- 11:45:11.562 DEBUG: Sending response, AckNo = 1
- 11:45:11.562 DEBUG: Received packet, SeqNo = 0
- 11:45:11.562 DEBUG: Sending response, AckNo = 0
- 11:45:13.812 DEBUG: Received packet, SeqNo = 0
- 11:45:13.812 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:13.812 DEBUG: Received packet, SeqNo = 1
- 11:45:13.812 DEBUG: Sending response, AckNo = 1
- 11:45:13.125 DEBUG: Received packet, SeqNo = 0
- 11:45:13.125 DEBUG: Sending response, AckNo = 0
- 11:45:13.156 DEBUG: Received packet, SeqNo = 1
- 11:45:13.156 DEBUG: Sending response, AckNo = 1
- 11:45:13.172 DEBUG: Received packet, SeqNo = 0
- 11:45:13.172 DEBUG: Sending response, AckNo = 0
- 11:45:13.484 DEBUG: Received packet, SeqNo = 1
- 11:45:13.484 DEBUG: Sending response, AckNo = 1
- 11:45:13.515 DEBUG: Received packet, SeqNo = 0
- 11:45:13.515 DEBUG: Sending response, AckNo = 0
- 11:45:14.156 DEBUG: Received packet, SeqNo = 1
- 11:45:14.156 DEBUG: Sending response, AckNo = 1
- 11:45:15.406 DEBUG: Received packet, SeqNo = 0
- 11:45:15.406 DEBUG: Sending response, AckNo = 0
- 11:45:15.406 DEBUG: Received packet, SeqNo = 1
- 11:45:15.406 DEBUG: Sending response, AckNo = 1
- 11:45:16.031 DEBUG: Received packet, SeqNo = 1
- 11:45:16.031 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:17.656 DEBUG: Received packet, SeqNo = 1
- 11:45:17.656 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:18.906 DEBUG: Received packet, SeqNo = 1
- 11:45:18.906 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:18.531 DEBUG: Received packet, SeqNo = 0
- 11:45:18.531 DEBUG: Sending response, AckNo = 0
- 11:45:19.843 DEBUG: Received packet, SeqNo = 1
- 11:45:19.843 DEBUG: Sending response, AckNo = 1
- 11:45:20.781 DEBUG: Received packet, SeqNo = 1
- 11:45:20.781 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:20.406 DEBUG: Received packet, SeqNo = 0
- 11:45:20.406 DEBUG: Sending response, AckNo = 0
- 11:45:21.031 DEBUG: Received packet, SeqNo = 0
- 11:45:21.031 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:21.031 DEBUG: Received packet, SeqNo = 1
- 11:45:21.031 DEBUG: Sending response, AckNo = 1
- 11:45:22.968 DEBUG: Received packet, SeqNo = 0
- 11:45:22.968 DEBUG: Sending response, AckNo = 0
- 11:45:22.968 DEBUG: Received packet, SeqNo = 1
- 11:45:22.968 DEBUG: Sending response, AckNo = 1
- 11:45:23.203 DEBUG: Received packet, SeqNo = 1
- 11:45:23.203 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:24.453 DEBUG: Received packet, SeqNo = 1
- 11:45:24.453 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:25.078 DEBUG: Received packet, SeqNo = 1
- 11:45:25.078 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:25.078 DEBUG: Received packet, SeqNo = 0
- 11:45:25.078 DEBUG: Sending response, AckNo = 0
- 11:45:25.390 DEBUG: Received packet, SeqNo = 0
- 11:45:25.390 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:25.390 DEBUG: Received packet, SeqNo = 1
- 11:45:25.390 DEBUG: Sending response, AckNo = 1
- 11:45:26.328 DEBUG: Received packet, SeqNo = 0
- 11:45:26.328 DEBUG: Sending response, AckNo = 0
- 11:45:26.359 DEBUG: Received packet, SeqNo = 1
- 11:45:26.359 DEBUG: Sending response, AckNo = 1
- 11:45:28.515 DEBUG: Received packet, SeqNo = 1
- 11:45:28.515 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:29.140 DEBUG: Received packet, SeqNo = 1
- 11:45:29.140 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:29.437 DEBUG: Received packet, SeqNo = 1
- 11:45:29.437 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:30.750 DEBUG: Received packet, SeqNo = 1
- 11:45:30.750 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:30.062 DEBUG: Received packet, SeqNo = 1
- 11:45:30.062 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:30.375 DEBUG: Received packet, SeqNo = 0
- 11:45:30.375 DEBUG: Sending response, AckNo = 0
- 11:45:30.375 DEBUG: Received packet, SeqNo = 1
- 11:45:30.375 DEBUG: Sending response, AckNo = 1
- 11:45:30.390 DEBUG: Received packet, SeqNo = 0
- 11:45:30.390 DEBUG: Sending response, AckNo = 0
- 11:45:30.390 DEBUG: Received packet, SeqNo = 1
- 11:45:30.390 DEBUG: Sending response, AckNo = 1
- 11:45:31.703 DEBUG: Received packet, SeqNo = 1
- 11:45:31.703 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:32.640 DEBUG: Received packet, SeqNo = 0
- 11:45:32.640 DEBUG: Sending response, AckNo = 0
- 11:45:32.953 DEBUG: Received packet, SeqNo = 0
- 11:45:32.953 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:32.265 DEBUG: Received packet, SeqNo = 0
- 11:45:32.265 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:32.297 DEBUG: Received packet, SeqNo = 1
- 11:45:32.297 DEBUG: Sending response, AckNo = 1
- 11:45:33.609 DEBUG: Received packet, SeqNo = 1
- 11:45:33.609 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:33.922 DEBUG: Received packet, SeqNo = 1
- 11:45:33.922 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:33.234 DEBUG: Received packet, SeqNo = 1
- 11:45:33.234 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:33.547 DEBUG: Received packet, SeqNo = 1
- 11:45:33.547 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:33.547 DEBUG: Received packet, SeqNo = 0
- 11:45:33.547 DEBUG: Sending response, AckNo = 0
- 11:45:33.562 DEBUG: Received packet, SeqNo = 1
- 11:45:33.562 DEBUG: Sending response, AckNo = 1
- 11:45:34.187 DEBUG: Received packet, SeqNo = 1
- 11:45:34.187 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:34.187 DEBUG: Received packet, SeqNo = 0
- 11:45:34.187 DEBUG: Sending response, AckNo = 0
- 11:45:35.812 DEBUG: Received packet, SeqNo = 1
- 11:45:35.812 DEBUG: Sending response, AckNo = 1
- 11:45:35.125 DEBUG: Received packet, SeqNo = 1
- 11:45:35.125 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:35.125 DEBUG: Received packet, SeqNo = 0
- 11:45:35.125 DEBUG: Sending response, AckNo = 0
- 11:45:36.750 DEBUG: Received packet, SeqNo = 0
- 11:45:36.750 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:36.062 DEBUG: Received packet, SeqNo = 1
- 11:45:36.062 DEBUG: Sending response, AckNo = 1
- 11:45:36.359 DEBUG: Received packet, SeqNo = 1
- 11:45:36.359 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:37.984 DEBUG: Received packet, SeqNo = 1
- 11:45:37.984 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:38.609 DEBUG: Received packet, SeqNo = 1
- 11:45:38.609 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:38.609 DEBUG: Received packet, SeqNo = 0
- 11:45:38.609 DEBUG: Sending response, AckNo = 0
- 11:45:39.468 DEBUG: Received packet, SeqNo = 0
- 11:45:39.468 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:39.500 DEBUG: Received packet, SeqNo = 1
- 11:45:39.500 DEBUG: Sending response, AckNo = 1
- 11:45:40.109 DEBUG: Received packet, SeqNo = 1
- 11:45:40.109 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:40.422 DEBUG: Received packet, SeqNo = 0
- 11:45:40.422 DEBUG: Sending response, AckNo = 0
- 11:45:42.672 DEBUG: Received packet, SeqNo = 0
- 11:45:42.672 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:42.968 DEBUG: Received packet, SeqNo = 0
- 11:45:42.968 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:42.281 DEBUG: Received packet, SeqNo = 0
- 11:45:42.281 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:43.937 DEBUG: Received packet, SeqNo = 1
- 11:45:43.937 DEBUG: Sending response, AckNo = 1
- 11:45:43.562 DEBUG: Received packet, SeqNo = 0
- 11:45:43.562 DEBUG: Sending response, AckNo = 0
- 11:45:45.812 DEBUG: Received packet, SeqNo = 0
- 11:45:45.812 DEBUG: Unexpected SeqNo 0, sending ACK
- 11:45:45.812 DEBUG: Received packet, SeqNo = 1
- 11:45:45.812 DEBUG: Sending response, AckNo = 1
- 11:45:45.812 DEBUG: File transfer complete
- 11:45:45.812 DEBUG: 	# effective bytes received: 77962
- 11:45:45.812 DEBUG: 	# packets received:         77
- 11:45:45.812 DEBUG: 	# bytes bytes:              80080
- 11:45:45.125 DEBUG: Received packet, SeqNo = 1
- 11:45:45.125 DEBUG: Unexpected SeqNo 1, sending ACK
- 11:45:53.765 DEBUG: Received packet, SeqNo = 0
- 11:45:53.765 DEBUG: Sending response, AckNo = 0
